"Kuntien avainluvut"

"Alue 2020";"Väkiluku, 2019"
"Ylitornio";3918
"Ylivieska";15255
"Ylöjärvi";33254
"Ypäjä";2343
"Ähtäri";5616
"Äänekoski";18765
"Uudenmaan maakunta";1689725
"Varsinais-Suomen maakunta";479341
"Satakunnan maakunta";216752
"Kanta-Hämeen maakunta";170925
"Pirkanmaan maakunta";517666
"Päijät-Hämeen maakunta";199604
"Kymenlaakson maakunta";171167
"Etelä-Karjalan maakunta";127757
"Etelä-Savon maakunta";142335
"Pohjois-Savon maakunta";244236
"Pohjois-Karjalan maakunta";161211
"Keski-Suomen maakunta";275104
"Etelä-Pohjanmaan maakunta";188685
"Pohjanmaan maakunta";180445
"Keski-Pohjanmaan maakunta";68158
"Pohjois-Pohjanmaan maakunta";412830
"Kainuun maakunta";72306
"Lapin maakunta";177161
"Ahvenanmaa";29884
"Helsingin seutukunta";1572161
"Raaseporin seutukunta";41121
"Porvoon seutukunta";59065
"Loviisan seutukunta";17378
"Åboland-Turunmaan seutukunta";21772
"Salon seutukunta";60544
"Turun seutukunta";332288
"Vakka-Suomen seutukunta";30995
"Loimaan seutukunta";33742
"Rauman seutukunta";66960
"Porin seutukunta";131368
"Pohjois-Satakunnan seutukunta";18424
"Hämeenlinnan seutukunta";93468
"Riihimäen seutukunta";44881
"Forssan seutukunta";32576
"Luoteis-Pirkanmaan seutukunta";15211
"Etelä-Pirkanmaan seutukunta";42135
"Tampereen seutukunta";410689
"Lounais-Pirkanmaan seutukunta";27105
"Ylä-Pirkanmaan seutukunta";22526
"Lahden seutukunta";199604
"Kouvolan seutukunta";88824
"Kotka-Haminan seutukunta";82343
"Lappeenrannan seutukunta";88295
"Imatran seutukunta";39462
"Mikkelin seutukunta";70258
"Savonlinnan seutukunta";43512
"Pieksämäen seutukunta";28565
"Ylä-Savon seutukunta";52920
"Kuopion seutukunta";140705
"Koillis-Savon seutukunta";6972
"Varkauden seutukunta";29920
"Sisä-Savon seutukunta";13719
"Joensuun seutukunta";124152
"Keski-Karjalan seutukunta";16623
"Pielisen Karjalan seutukunta";20436
"Jyväskylän seutukunta";186252
"Joutsan seutukunta";5067
"Keuruun seutukunta";11171
"Jämsän seutukunta";22388
"Äänekosken seutukunta";21392
"Saarijärvi-Viitasaaren seutukunta";28834
"Suupohjan seutukunta";21456
"Seinäjoen seutukunta";126732
"Kuusiokuntien seutukunta";20635
"Järviseudun seutukunta";19862
"Kyrönmaan seutukunta";12539
"Vaasan seutukunta";101097
"Sydösterbotten";17211
"Jakobstadsregionen";49598
"Kaustisen seutukunta";15013
"Kokkolan seutukunta";53145
"Oulun seutukunta";252559
"Oulunkaaren seutukunta";23185
"Raahen seutukunta";32901
"Haapavesi-Siikalatvan seutukunta";13567
"Nivala-Haapajärven seutukunta";28074
"Ylivieskan seutukunta";43434
"Koillismaan seutukunta";19110
"Kehys-Kainuun seutukunta";20716
"Kajaanin seutukunta";51590
"Rovaniemen seutukunta";66825
"Kemi-Tornion seutukunta";56377
"Torniolaakson seutukunta";7291
"Itä-Lapin seutukunta";15801
"Tunturi-Lapin seutukunta";14445
"Pohjois-Lapin seutukunta";16422
"Mariehamns stad";11679
"Ålands landsbygd";16148
"Ålands skärgård";2057
